,Semester,Year,Status,Major...7,Class,Gender...9,Finance?,Non-Business,Section,Survey Y/N,Day/Evening,Food Service,Apparel/Sewing,Other Consumer,Cottage Food,random_id,CompanyLetter,Learning Team,Faculty,Business Name
40,Spring,2022,Registered(03/09/2022),Bus Mgmt Marketing,JR,Male,No,No,8,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Very Interested,Not Interested,Indifferent or No Opinion,713TNCH4009DE858,NA,NA,NA,#N/A
41,Fall,2022,Registered(06/13/2022),Business Management,SO,Male,No,No,5,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,232VUSA8438EZ157,NA,NA,NA,#N/A
42,Fall,2022,Registered(06/12/2022),Business Management,SO,Male,No,No,8,Y,Daytime,Very Interested,Very Interested,Very Interested,Not Interested,731WDXE4872EN102,NA,NA,NA,#N/A
43,Spring,2023,Registered(03/26/2023),General Studies,FR,Male,No,Yes,6,N,NA,N/A,N/A,N/A,N/A,176KGKP7020PE255,F,2,Kent Lundin,New Life
44,Spring,2023,Registered(03/10/2023),Bus Mgmt Marketing,SO,Male,No,No,1,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Very Interested,Not Interested,Indifferent or No Opinion,831ACEX2956XT346,A,3,Scott Pope,1793 & Co
45,Spring,2023,Registered(03/14/2023),Business Management,SO,Male,No,No,2,Y,Evening Operations (8-11AM & 7-10PM roughly),Very Interested,Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,503SSTX9963LW233,B,2,Rob Tietjen,Walk'in Tacos
46,Spring,2023,Registered(03/21/2023),Business Management,JR,Male,No,No,2,Y,Evening Operations (8-11AM & 7-10PM roughly),Not Interested,Very Interested,Indifferent or No Opinion,Not Interested,952BDLK3841NG479,B,2,Rob Tietjen,Walk'in Tacos
47,Fall,2023,Registered(06/09/2023),Business Management,JR,Male,No,No,7,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,726RSMJ7330GX265,G,2,Drew Eagar,Mac Dad
48,Spring,2022,Registered(03/15/2022),Bus Mgmt Marketing,SO,Male,No,No,8,Y,NA,Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,Very Interested,991MVFV2657GY170,NA,NA,NA,#N/A
49,Fall,2023,Registered(06/12/2023),Bus Mgmt Marketing,JR,Male,No,No,5,N,N/A,N/A,N/A,N/A,N/A,313EHOG8272FM785,E,3,Jared Peterson,Off-Shore
50,Winter,2023,Registered(11/13/2022),Business Management,SR,Male,No,No,4,Y,Daytime Operations (8AM-2PM),Very Interested,Very Interested,Very Interested,Very Interested,904RJMX2995WT820,D,2,Alan Thompson,Swift Blend
51,Fall,2022,Registered(06/13/2022),Bus Mgmt Marketing,SO,Male,No,No,7,Y,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,609ZZAE7305DY944,NA,NA,NA,#N/A
52,Fall,2022,Registered(06/13/2022),Bus Mgmt Marketing,SO,Male,No,No,5,Y,Daytime,No Opinion,No Opinion,No Opinion,Very Interested,567CUPS7621JG881,NA,NA,NA,#N/A
53,Winter,2023,Registered(11/03/2022),Business Management,SR,Male,No,No,8,N,NA,N/A,N/A,N/A,N/A,101MYRK7457ID600,H,1,Jared Eberhard,Wickalicous
54,Fall,2022,Registered(06/09/2022),Bus Mgmt Marketing,JR,Male,No,No,6,Y,Either,Very Interested,No Opinion,No Opinion,Very Interested,295SPKU6229SJ442,NA,NA,NA,#N/A
55,Spring,2022,Registered(03/08/2022),Business Management,JR,Female,No,No,7,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,313HKPA7512HV490,NA,NA,NA,#N/A
56,Spring,2022,Registered(03/10/2022),Construction Management,SO,Female,No,Yes,5,Y,NA,Very Interested,Very Interested,Indifferent or No Opinion,Not Interested,568MBIF5252KM368,NA,NA,NA,#N/A
57,Winter,2023,Registered(11/13/2022),Bus Mgmt Marketing,SR,Female,No,No,5,Y,Evening Operations (8-11AM & 7-10PM),Indifferent or No Opinion,Very Interested,Very Interested,Indifferent or No Opinion,509XOZF1120BH234,E,1,Rob Tietjen,After Hours
58,Spring,2022,Registered(03/18/2022),Bus Mgmt Marketing,JR,Male,No,No,8,Y,NA,Not Interested,Very Interested,Very Interested,Not Interested,699KVME9280WO287,NA,NA,NA,#N/A
59,Spring,2023,Registered(03/09/2023),Bus Mgmt Marketing,JR,Male,No,No,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Very Interested,Very Interested,832AGBD5864IV831,H,1,Charlie Crump,Dippers
60,Fall,2023,Registered(06/06/2023),Business Management,JR,Male,No,No,6,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,894VMDN2027ID166,F,3,Kent Lundin,On-A-Stick
61,Winter,2023,Registered(12/16/2022),Interdisciplinary,SR,Female,No,Yes,7,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,467GJMY3705DM212,G,1,Jared Peterson,MemoRays
62,Spring,2023,Registered(03/06/2023),International Studies,SR,Male,No,Yes,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,842LTOC5710DG982,H,1,Charlie Crump,Dippers
63,Winter,2023,Registered(11/08/2022),Business Management Ops,JR,Female,No,No,3,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,390IZDS2057JC204,C,2,Drew Eager,Rogers
64,Spring,2023,Registered(03/08/2023),Bus Mgmt Marketing,JR,Male,No,No,1,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Very Interested,Not Interested,Not Interested,813MYTT2252HO825,A,1,Scott Pope,1793 & Co
65,Spring,2022,Registered(03/03/2022),Automotive Tech Mgmt,SR,Male,No,Yes,1,Y,Daytime Operations (8AM-2PM),Not Interested,Very Interested,Very Interested,Not Interested,528MHQX9190XI852,NA,NA,NA,#N/A
66,Spring,2022,Registered(03/09/2022),Bus Mgmt Marketing,JR,Male,No,No,4,Y,Daytime Operations (8AM-2PM),Not Interested,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,248PMRH8178EK882,NA,NA,NA,#N/A
67,Fall,2023,Registered(06/05/2023),International Studies,JR,Male,No,Yes,5,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Indifferent or No Opinion,Very Interested,Not Interested,729PZHW7822JW160,E,3,Jared Peterson,Off-Shore
68,Fall,2022,Registered(06/06/2022),Bus Mgmt Marketing,SR,Female,No,No,7,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,120SEBV8220ZZ420,NA,NA,NA,#N/A
69,Fall,2022,Registered(06/13/2022),Bus Mgmt Marketing,SR,Female,No,No,2,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,353PCJF6188OX296,NA,NA,NA,#N/A
70,Fall,2023,Registered(06/12/2023),Business Management,JR,Male,No,No,5,N,N/A,N/A,N/A,N/A,N/A,247YOOB4782JJ352,E,1,Jared Peterson,Off-Shore
71,Spring,2022,Registered(03/08/2022),Bus Mgmt Marketing,JR,Female,No,No,5,Y,Daytime Operations (8AM-2PM),Very Interested,Very Interested,Indifferent or No Opinion,Not Interested,506QTMT1806ZX743,NA,NA,NA,#N/A
72,Winter,2023,Registered(01/11/2023),Business Management,JR,Male,No,No,2,N,NA,N/A,N/A,N/A,N/A,136MKWH3887DD972,B,1,Robert Wilson,Unboxed
73,Winter,2023,Registered(11/11/2022),Bus Mgmt Marketing,SO,Female,No,No,7,Y,Daytime Operations (8AM-2PM),Not Interested,Very Interested,Very Interested,Very Interested,524AKOX3833FB398,G,1,Jared Peterson,MemoRays
74,Fall,2023,Registered(06/13/2023),Non-Degree Seeking,NM,Male,No,Yes,2,N,N/A,N/A,N/A,N/A,N/A,439XQIM8727HN322,B,2,Mary Maroon,Homeslice
75,Spring,2023,Registered(03/14/2023),Bus Mgmt Marketing,SO,Male,No,No,5,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Not Interested,Not Interested,Indifferent or No Opinion,236KOGL5860ZB489,E,1,Jared Eberhard,Bussin' Butter
76,Spring,2022,Registered(03/20/2022),Business Management,SR,Male,No,No,5,Y,NA,Indifferent or No Opinion,Not Interested,Not Interested,Very Interested,563ARAV4865EA220,NA,NA,NA,#N/A
77,Fall,2023,Registered(06/10/2023),Business Finance,SR,Male,Yes,No,2,N,N/A,N/A,N/A,N/A,N/A,389DXEB2769YQ492,B,1,Mary Maroon,Homeslice
78,Spring,2022,Registered(03/09/2022),Business Management,JR,Female,No,No,4,N,Daytime Operations (8AM-2PM),N/A,N/A,N/A,N/A,866ANAD8744LY620,NA,NA,NA,#N/A
79,Fall,2023,Registered(06/12/2023),Professional Studies,SR,Male,No,Yes,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,409KPOK2934VM658,H,2,Brian Christensen,Frozone
80,Fall,2022,Registered(06/09/2022),International Studies,SR,Male,No,Yes,2,Y,Daytime,Very Interested,No Opinion,No Opinion,No Opinion,823GCGC2230PA173,NA,NA,NA,#N/A
81,Fall,2022,Registered(06/13/2022),Bus Mgmt Marketing,SR,Male,No,No,1,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,604PUPO3723AL882,NA,NA,NA,#N/A
82,Spring,2023,Registered(03/14/2023),Business Management,SO,Female,No,No,1,Y,I'm fine with either option,Very Interested,Very Interested,Indifferent or No Opinion,Very Interested,757QOAS1127AB455,A,2,Scott Pope,1793 & Co
83,Spring,2023,Registered(03/10/2023),Bus Mgmt Marketing,SO,Male,No,No,6,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,804FJMT9444IY203,F,3,Kent Lundin,New Life
84,Fall,2023,Registered(06/12/2023),Bus Mgmt Marketing,JR,Female,No,No,1,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Very Interested,Very Interested,Very Interested,715HBUF4031DV177,A,3,Scott Pope,CheFigo
85,Fall,2023,Registered(06/12/2023),Bus Mgmt Marketing,SO,Female,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,Not Interested,605DKRU6930VV815,I,2,Dave Rowe,Sunday Blues
86,Winter,2023,Registered(11/09/2022),Bus Mgmt Marketing,JR,Male,No,No,6,N,NA,N/A,N/A,N/A,N/A,173GQSP1335FV809,F,2,Chris Boyce,CereALLS
87,Fall,2022,Registered(06/06/2022),Business Management Ops,SR,Female,No,No,8,Y,Daytime,Very Interested,Very Interested,Very Interested,Very Interested,124GCYE2875IY540,NA,NA,NA,#N/A
88,Winter,2023,Registered(12/20/2022),Bus Mgmt Marketing,SO,Male,No,No,3,N,NA,N/A,N/A,N/A,N/A,193KNAS6599YF530,C,3,Drew Eager,Rogers
89,Spring,2022,Registered(03/03/2022),Bus Mgmt Marketing,SR,Female,No,No,7,N,Evening Operations (8-11AM & 7-10PM),N/A,N/A,N/A,N/A,535EEKZ7978OJ472,NA,NA,NA,#N/A
90,Spring,2022,Registered(03/04/2022),Professional Studies,SR,Female,No,Yes,4,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Very Interested,Very Interested,Indifferent or No Opinion,137EJXZ4537VQ621,NA,NA,NA,#N/A
91,Spring,2022,Registered(03/09/2022),Business Finance,JR,Male,Yes,No,6,Y,I'm fine with either option,Not Interested,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,399GULB9823WA541,NA,NA,NA,#N/A
92,Spring,2023,Registered(03/08/2023),Bus Mgmt Marketing,SR,Male,No,No,4,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Very Interested,Very Interested,Not Interested,364FZDM4911KZ645,D,3,Jared Peterson,Dashing Dough
93,Winter,2023,Registered(11/10/2022),Computer Science,SR,Male,No,Yes,5,Y,Evening Operations (8-11AM & 7-10PM),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,684PQDA8704RT368,E,1,Rob Tietjen,After Hours
94,Fall,2022,Registered(06/13/2022),Business Management,SO,Male,No,No,3,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,940GABM9717BR171,NA,NA,NA,#N/A
95,Spring,2022,Registered(03/09/2022),Business Management,JR,Male,No,No,8,Y,Daytime Operations (8AM-2PM),Not Interested,Not Interested,Very Interested,Not Interested,124FQBF1244QF712,NA,NA,NA,#N/A
96,Spring,2022,Registered(03/12/2022),Business Management,SR,Male,No,No,8,N,NA,N/A,N/A,N/A,N/A,231FVVI2738JA106,NA,NA,NA,#N/A
97,Spring,2022,Registered(03/21/2022),Business Management,SR,Male,No,No,4,N,NA,N/A,N/A,N/A,N/A,425BQOU2164XH609,NA,NA,NA,#N/A
98,Fall,2022,Registered(06/08/2022),Bus Mgmt Marketing,JR,Male,No,No,7,Y,Daytime,Very Interested,Very Interested,No Opinion,No Opinion,429LYLW7546PS535,NA,NA,NA,#N/A
99,Fall,2023,Registered(06/09/2023),Business Management,SO,Male,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,245MIZG9532SA306,I,1,Dave Rowe,Sunday Blues
100,Spring,2022,Registered(03/10/2022),Business Management,SR,Male,No,No,4,N,Daytime Operations (8AM-2PM),N/A,N/A,N/A,N/A,322BEKA1444HI718,NA,NA,NA,#N/A
101,Fall,2023,Registered(06/02/2023),International Studies,SR,Female,No,Yes,6,N,N/A,N/A,N/A,N/A,N/A,109ZWXT7394WM319,F,2,Kent Lundin,On-A-Stick
102,Fall,2023,Registered(06/06/2023),Bus Mgmt Marketing,SR,Female,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,Not Interested,949WOVI6610MG733,I,1,Dave Rowe,Sunday Blues
103,Fall,2023,Registered(06/07/2023),Bus Mgmt Marketing,JR,Female,No,No,2,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Not Interested,Very Interested,569SRMM8358FY428,B,3,Mary Maroon,Homeslice
104,Fall,2023,Registered(06/12/2023),Automotive Tech Mgmt,JR,Male,No,Yes,1,N,N/A,N/A,N/A,N/A,N/A,849FUYN8184QL756,A,1,Scott Pope,CheFigo
105,Spring,2022,Registered(03/08/2022),FCS Apparel Entrepreneur,SR,Female,No,Yes,8,Y,Daytime Operations (8AM-2PM),Very Interested,Very Interested,Indifferent or No Opinion,Not Interested,568YXHZ6991OR120,NA,NA,NA,#N/A
106,Winter,2023,Registered(12/02/2022),Bus Mgmt Marketing,SR,Male,No,No,7,N,NA,N/A,N/A,N/A,N/A,797QSYH2638SG112,G,1,Jared Peterson,MemoRays
107,Winter,2023,Registered(11/09/2022),Bus Mgmt Marketing,JR,Female,No,No,1,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,Very Interested,865IRZP9789DB139,A,2,Charlie Crump,Golden Links
108,Spring,2023,Registered(03/14/2023),Business Management,SO,Female,No,No,2,Y,Evening Operations (8-11AM & 7-10PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,533SOMW1111UN371,B,1,Rob Tietjen,Walk'in Tacos
109,Spring,2023,Registered(03/30/2023),Business Management,SR,Male,No,No,3,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,969PSXR2399LN363,C,2,Chris Boyce,The Chap Shack
110,Spring,2023,Registered(03/09/2023),Business Management,JR,Female,No,No,5,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Not Interested,Very Interested,615WLGM8928YA350,E,3,Jared Eberhard,Bussin' Butter
111,Winter,2023,Registered(11/04/2022),Business Management,SR,Female,No,No,5,Y,Evening Operations (8-11AM & 7-10PM),Very Interested,Not Interested,Indifferent or No Opinion,Not Interested,854EUGD1478BR157,E,3,Rob Tietjen,After Hours
112,Fall,2023,Registered(06/08/2023),Bus Mgmt Marketing,JR,Male,No,No,4,N,N/A,N/A,N/A,N/A,N/A,104TSRY6969HB268,D,1,Chris Boyce,Your Signature Jewlery
113,Spring,2022,Registered(03/03/2022),Business Management,SR,Male,No,No,3,Y,Daytime Operations (8AM-2PM),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,288CTIG7604UQ121,NA,NA,NA,#N/A
114,Fall,2023,Registered(06/06/2023),Bus Mgmt Marketing,SR,Male,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Very Interested,Very Interested,Not Interested,106SVSN4124CZ640,I,3,Dave Rowe,Sunday Blues
115,Spring,2023,Registered(03/10/2023),Business Management,SO,Female,No,No,5,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Very Interested,Very Interested,Very Interested,146BOXW5307GZ971,E,3,Jared Eberhard,Bussin' Butter
116,Fall,2023,Registered(07/14/2023),Business Management,JR,Male,No,No,9,N,N/A,N/A,N/A,N/A,N/A,419NDRX1437GM691,I,1,Dave Rowe,Sunday Blues
117,Spring,2023,Registered(03/30/2023),FCS Apparel Entrepreneur,JR,Female,No,Yes,2,Y,Evening Operations (8-11AM & 7-10PM roughly),Very Interested,Indifferent or No Opinion,Not Interested,Not Interested,677IQXP7455DV278,B,2,Rob Tietjen,Walk'in Tacos
118,Spring,2023,Registered(03/07/2023),Business Management,JR,Male,No,No,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Not Interested,885PPOT4575EX268,H,2,Charlie Crump,Dippers
119,Fall,2022,Registered(06/08/2022),Bus Mgmt Marketing,JR,Female,No,No,8,Y,Daytime,Very Interested,No Opinion,Not Interested,Very Interested,935BUAO2896TS280,NA,NA,NA,#N/A
120,Spring,2023,Registered(03/06/2023),Business Management Ops,SR,Male,No,No,4,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,646SSLC4195AH529,D,3,Jared Peterson,Dashing Dough
121,Fall,2023,Registered(06/09/2023),Bus Mgmt Marketing,JR,Male,No,No,6,N,N/A,N/A,N/A,N/A,N/A,337ATMG7180BO579,F,2,Kent Lundin,On-A-Stick
122,Spring,2022,Registered(03/09/2022),Construction Management,SO,Male,No,Yes,8,Y,NA,Indifferent or No Opinion,Not Interested,Very Interested,Very Interested,131ZBST3446WU734,NA,NA,NA,#N/A
123,Spring,2022,Registered(03/08/2022),Bus Mgmt Marketing,JR,Male,No,No,5,Y,Evening Operations (8-11AM & 7-10PM),Very Interested,Not Interested,Not Interested,Indifferent or No Opinion,566KBRL5198ZQ704,NA,NA,NA,#N/A
124,Fall,2023,Registered(06/07/2023),Graphic Design,SR,Female,No,Yes,1,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Very Interested,Not Interested,Very Interested,230WVTN6496EA521,A,1,Scott Pope,CheFigo
