Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin
2018,Winter,E,Date Box,MC,$35 ,Date Boxes,"$6,647 ","$4,147 ","$2,501 ",38%,"$4,042 ","($1,541)","($1,191)","$1,766 ",-18%
2018,Winter,F,Sawtooth Supply Co,MC,$35 ,Billboard Duffle Bags,"$11,023 ","$3,094 ","$4,162 ",38%,"$3,788 ",$375 ,$332 ,"$3,678 ",3%
2018,Winter,G,Bee's Knees,MC,$35 ,Skin Care Products,"$7,980 ","$2,616 ","$5,364 ",67%,"$4,243 ","$1,121 ",$714 ,"$3,990 ",9%
2018,Spring,A,Serenity,MC,$35 ,Bath bombs,"$3,050 ","$1,103 ","$1,946 ",64%,"$2,907 ",($961),($704),$796 ,-23%
2018,Spring,B,Laurel Bee,MC,$35 ,Jewelry,"$4,486 ",$932 ,"$3,553 ",79%,"$2,733 ",$821 ,$559 ,"$2,339 ",12%
2018,Spring,C,Honu Life,Courtyard,$35 ,"Hammocks, hats","$4,910 ","$2,858 ","$2,052 ",42%,"$3,008 ",$956 ,($753),"$1,229 ",-15%
2018,Spring,D,Shaves,Smith,$150 ,Shaved ice/hot dogs,"$3,052 ",$682 ,"$2,370 ",78%,"$5,612 ","($3,242)","($2,340)",($691),-77%
2018,Spring,E,Joey & Co,MC,$35 ,Apparel,"$3,802 ","$2,219 ","$1,583 ",42%,"$2,905 ","($1,322)",($978),$567 ,-26%
2018,Spring,F,Jurassic Wraps,Kimball,$75 ,Wraps,"$7,481 ","$3,653 ","$3,828 ",51%,"$4,582 ",($753),($566),"$2,160 ",-8%
2018,Spring,G,Imperial Rice,STC,$150 ,Rice bowls,"$9,102 ","$5,264 ","$3,838 ",42%,"$5,423 ","($1,585)","($1,169)","$3,738 ",-13%
2018,Spring,H,Fantastic Foods,MC,$35 ,Food packaging and delivery,"$3,354 ","$3,244 ",$110 ,3%,"$3,424 ","($3,313)","($2,402)","($1,935)",-72%
2018,Fall,A,Gnarly Woodworks,MC,$35 ,Wood rings,"$8,360 ","$1,756 ","$6,604 ",79%,"$4,816 ","$1,788 ","$1,280 ","$6,130 ",15%
2018,Fall,B,Silver Lining,MC,$35 ,Jewelry,"$14,475 ","$2,419 ","$12,056 ",83%,"$3,717 ","$8,339 ","$5,754 ","$10,578 ",40%
2018,Fall,C,ROFL Games,MC,$35 ,Custom Games,"$8,448 ","$3,919 ","$5,159 ",61%,"$1,468 ","$1,468 ",$998 ,"$4,574 ",12%
2018,Fall,D,Lit,MC,$35 ,Candles,"$8,276 ","$3,153 ","$5,123 ",62%,"$2,530 ","$2,593 ","$1,758 ","$3,723 ",21%
2018,Fall,E,Copper Kettle,Courtyard,$35 ,"Hot Chocolate, Baked Goods","$8,784 ","$3,456 ","$5,325 ",61%,"$4,787 ",$538 ,$345 ,"$3,325 ",4%
2018,Fall,F,Lunch Box,Smith,$150 ,Sandwiches,"$15,264 ","$6,521 ","$8,742 ",57%,"$4,737 ","$4,005 ","$2,780 ","$8,253 ",18%
2018,Fall,G,Cyber Sliders,STC,$150 ,Slider Sandwiches,"$9,446 ","$5,102 ","$4,344 ",46%,"$4,556 ",($213),($75),"$4,354 ",-1%
2018,Fall,H,Viva la Bowl,Kimball,$75 ,Mexican Salads,"$9,919 ","$5,460 ","$4,458 ",45%,"$5,182 ",($723),($547),"$2,509 ",-6%
2019,Winter,A,The Dunes,STC,$150 ,Grab and Go Sandwiches,"$18,838 ","$10,821 ","$8,017 ",43%,"$6,339 ","$1,678 ","$1,116 ","$7,954 ",6%
2019,Winter,B,Casa de Kimabll,Kimball,$75 ,Street Taco's / Tostadas,"$12,743 ","$8,001 ","$4,743 ",37%,"$7,166 ","($2,423)","($1,742)","$4,151 ",-14%
2019,Winter,C,Rexadilla,Austin,$35 ,Casadillas,"$11,393 ","$5,499 ","$5,894 ",52%,"$5,091 ",$802 ,$518 ,"$4,765 ",5%
2019,Winter,D,Sweetums,MC,$35 ,Candy,"$6,391 ","$2,928 ","$3,463 ",54%,"$3,998 ",($535),($417),"$1,909 ",-7%
2019,Winter,E,Smith Street Tacos,Smith,$150 ,Street Taco's,"$13,100 ","$7,515 ","$5,585 ",43%,"$7,340 ","($1,755)","($1,309)","$5,709 ",-10%
2019,Winter,F,Rep-it,MC,$35 ,Custom Apparel,"$8,714 ","$5,544 ","$3,170 ",36%,"$5,054 ","($1,884)","($1,376)","$2,346 ",-16%
2019,Winter,G,Bigfoot Stickers,MC,$35 ,Stickers,"$4,732 ",$912 ,"$3,820 ",81%,"$3,714 ",$106 ,$28 ,"$2,460 ",1%
2019,Winter,H,VNL,MC,$35 ,Custom Apparel,"$7,226 ","$2,393 ","$4,833 ",67%,"$4,687 ",$146 ,$150 ,"$2,772 ",2%
2019,Winter,I,Sticker Seal,MC,$35 ,Stickers,"$4,719 ","$1,830 ","$2,889 ",61%,"$4,635 ","($1,746)","($1,293)","$1,948 ",-27%
2019,Spring,A,In The Loop,MC,$35 ,Handmade Ties,"$6,684 ","$6,327 ",$357 ,5%,"$4,116 ","($3,759)","($2,659)","$3,265 ",-40%
2019,Spring,B,Phil's Philly Cheese Steaks,Kimball,$75 ,philly cheese steaks,"$7,560 ","$3,506 ","$4,054 ",54%,"$7,271 ","($3,217)","($2,326)","$1,679 ",-31%
2019,Spring,C,Uncle Pops,Library Ampitheatre,$25 ,italian sodas,"$4,612 ","$2,347 ","$2,265 ",49%,"$3,198 ",($933),($752),$950 ,-16%
2019,Spring,D,The Shack,Smith,$150 ,Hot Dogs and shakes,"$9,183 ","$3,947 ","$5,236 ",57%,"$7,191 ","($1,955)","($1,410)","$2,217 ",-15%
2019,Spring,E,Boneless Bytes,STC,$150 ,Boneless Chicken wings and Shakes,"$13,878 ","$7,978 ","$5,900 ",43%,"$8,376 ","($2,476)","$1,765 ","$3,726 ",13%
2019,Spring,F,Outdoorish,Library Ampitheatre,$35 ,Hammocks and Solar Chargers,"$4,845 ","$4,257 ",$588 ,12%,"$3,398 ","($2,810)","($2,060)",$0 ,-43%
2019,Spring,G,Yellow Stitch,MC,$35 ,Women's Scrunchies,"$9,043 ","$3,049 ","$5,994 ",66%,"$3,834 ","$2,160 ","$1,479 ","$6,551 ",16%
2019,Spring,H,The Dog House,MC,$25 ,Hot Dogs,"$9,088 ","$3,249 ","$5,839 ",64%,"$7,319 ","($1,480)","($1,084)","$3,333 ",-12%
2019,Fall,A,Boujee,MC,$35 ,Essential Oils Products,"$3,806 ","$2,140 ","$1,666 ",44%,"$2,772 ","($1,106)",($816),$286 ,-21%
2019,Fall,B,Toasties,Smith,$150 ,Paninies,"$11,973 ","$6,906 ","$5,067 ",42%,"$3,782 ","$1,285 ",$863 ,"$5,959 ",7%
2019,Fall,C,Bonga Beads,MC,$35 ,Beaded Jewelry,"$7,498 ","$1,924 ","$5,575 ",74%,"$4,234 ","$1,341 ",$911 ,"$3,268 ",12%
2019,Fall,D,The Shoppe,MC,$35 ,Candles; Plants; Misc,"$5,471 ","$1,786 ","$3,685 ",67%,"$2,937 ",$748 ,$462 ,"$1,711 ",8%
2019,Fall,E,"Subtle, Me",MC,$35 ,Custom Jewelry,"$6,984 ","$2,320 ","$4,574 ",65%,"$5,895 ","($1,321)",($978),"$1,890 ",-14%
2019,Fall,F,Batter Up,Library Ampitheatre,$35 ,Waffles Bites,"$5,248 ","$1,233 ","$4,015 ",77%,"$5,082 ","($1,067)",($795),"$1,955 ",-15%
2019,Fall,G,Salt Fix,STC,$150 ,Soft Pretzels,"$5,697 ","$1,436 ","$4,261 ",75%,"$4,515 ",($254),($207),"$1,660 ",-4%
2019,Fall,H,Boom! Toasted,Kimball,$75 ,Gourmet Toast,"$3,428 ","$2,512 ",$916 ,27%,"$2,360 ","($1,444)","($1,059)",($197),-31%
2020,Winter,A,Pop Shop,Library Ampitheatre,$35 ,Mixed drinks,"$3,644 ","$2,621 ",$971 ,27%,"$2,046 ","($1,075)",($812),"$1,362 ",-22%
2020,Winter,B,Burro,Smith,$150 ,Breakfast burritos,"$6,987 ","$3,711 ","$3,276 ",47%,"$4,663 ","($1,388)","($1,009)",$735 ,-14%
2020,Winter,C,Switchback,MC,$35 ,Outdoor apparel,"$1,702 ","$1,085 ",$617 ,36%,"$1,554 ",($937),($712),"$1,012 ",-42%
2020,Winter,D,Sweet Traditions,MC,$35 ,Recipe jars,"$1,604 ","$1,760 ",($157),-10%,"$1,057 ","($1,214)",($895),$807 ,-56%
2020,Winter,E,Cozy's,MC,$35 ,Hot chocolate & other,"$2,838 ",$582 ,"$2,256 ",79%,"$2,848 ",($592),($449),$712 ,-16%
2020,Winter,F,Layers,MC,$35 ,Wood jewelry,"$2,737 ",$350 ,"$2,387 ",87%,"$2,001 ",$386 ,$242 ,"$1,740 ",9%
2020,Winter,G,Sweet Life,MC,$35 ,Confections,"$1,894 ",$897 ,$997 ,53%,"$2,092 ","($1,095)",($809),$909 ,-43%
2020,Winter,H,Uli,MC,$35 ,Spoon/coin rings,"$4,103 ",$423 ,"$3,680 ",90%,"$3,394 ",$286 ,$162 ,"$1,900 ",4%
2020,Winter,I,Taco Town,Kimball,$75 ,Street tacos,"$3,208 ","$1,936 ","$1,676 ",52%,"$3,303 ","($1,627)","($1,198)",$515 ,-37%
2020,Spring,A,Rexburg Roots,Online,$7 ,Apparel,"$3,436 ","$2,533 ",$904 ,26%,"$2,740 ","($1,836)","($1,430)",($27),-42%
2020,Fall,A,Game Box,Online,,Card Games,"$2,570 ","$1,260 ","$1,310 ",51%,"$1,345 ",($35),($10),"$1,052 ",0%
2020,Fall,B,Alpacka Box,Online,,Custom Gift Boxes,"$4,872 ","$2,584 ","$2,288 ",47%,"$2,013 ",$275 ,$81 ,$60 ,2%
2020,Fall,C,Fibra Bands,Online,,Wrist Bands w/ Functions,"$2,082 ","$1,126 ",$976 ,47%,"$2,603 ","($1,627)","($1,246)",($484),-60%
2020,Fall,D,Hidden  Gems,Rotated,$35 ,Adventure Packs (Cards with Locations),"$4,385 ",$807 ,"$3,578 ",82%,"$3,251 ",$328 ,$179 ,$295 ,4%
2020,Fall,E,Golden Teton Clay,Rotated,$35 ,Clay jewelry,"$4,140 ",$198 ,"$3,347 ",81%,"$2,342 ","$1,005 ",$648 ,"$1,058 ",16%
2020,Fall,F,Groovy Mama,Rotated,$35 ,Tie-dye Apparel,"$7,189 ","$3,909 ","$3,280 ",46%,"$4,538 ","($1,258)",($988),$289 ,-14%
2020,Fall,G,Mind Full,Rotated,$35 ,StLibrary Ampitheatreed Jewelry,"$4,126 ",$874 ,"$3,159 ",77%,"$2,043 ","$1,116 ",$714 ,$966 ,17%
2020,Fall,H,Gator Gains,Rotated,$35 ,Gator Masks,"$3,981 ","$1,609 ","$2,372 ",60%,"$2,343 ",$29 ,($29),($325),-1%
2021,Winter,A,Ella Rain Jewelry,Online,,Metal Jewlery,"$2,602 ",$868 ,"$1,734 ",67%,"$1,179 ",$555 ,$293 ,$396 ,11%
2021,Winter,B,BeanPatch,Online,,Patch Beanies,"$9,644 ","$4,864 ","$4,780 ",50%,"$1,717 ","$3,063 ","$2,105 ","$2,535 ",22%
2021,Winter,C,Rexburg Life,Online,,Website for housing options ,$476 ,$0 ,$476 ,100%,"$1,301 ",($825),$432 ,$815 ,91%
2021,Winter,D,Cherie Jewlery Co,Rotated,$35 ,Resin Jewlery,"$2,319 ",$364 ,"$1,954 ",84%,"$1,872 ",$83 ,"$1,044 ","$1,275 ",45%
2021,Winter,E,Nomad,Rotated,$35 ,Embroidered Beanies,"$4,695 ","$1,784 ","$2,912 ",62%,"$2,470 ",$442 ,$184 ,$192 ,4%
2021,Winter,F,Bel Arome,Rotated,$35 ,Candels,"$2,814 ","$1,335 ","$1,479 ",53%,"$2,102 ",($624),($537),$613 ,-19%
2021,Winter,G,Social Survival,Rotated,$35 ,Date Night Kits,"$2,712 ","$1,295 ","$1,417 ",52%,"$1,786 ",($369),($404),$0 ,-15%
2021,Winter,H,The Hunt,Rotated,$35 ,Scavenger Hunts,"$4,493 ",$145 ,"$4,348 ",97%,"$2,478 ","$1,869 ","$1,609 ","$2,203 ",36%
2021,Spring,A,Paxil,Online,$35 ,Mexican Woven Fabrics,"$2,841 ","$1,965 ",$877 ,31%,"$1,701 ",($825),($697),$854 ,-25%
2021,Spring,B,R Home Stickers,Online,$35 ,Stickers,$657 ,$377 ,$279 ,42%,$626 ,($346),($287),$100 ,-44%
2021,Spring,C,EZ Breezy,Online,,Summer Rental ,$291 , $-   ,$291 ,100%,"$1,109 ",($819),($909),$419 ,-312%
2021,Spring,D,Grungy Goat,Rotated,$35 ,Bleached Tees,"$6,697 ","$1,914 ","$4,783 ",71%,"$3,926 ",$857 ,$603 ,$746 ,9%
2021,Spring,E,Sewly,Rotated,$35 ,Scrunchies,"$2,151 ",$845 ,"$1,306 ",61%,"$1,768 ",($462),($419),"$1,002 ",-19%
2021,Spring,F,Buzzle,Rotated,$35 ,Bath Bombs,"$1,446 ",$249 ,"$1,196 ",83%,"$1,894 ",($697),($435),$280 ,-30%
2021,Spring,G,Karate Wash,Rotated,$35 ,Car Wash,"$5,674 ",$362 ,"$5,288 ",93%,"$5,255 ",$33 ,($20),"$1,574 ",0%
2021,Spring,H,Dunes and Co,Rotated,$35 ,Sand Dyed Tees,"$7,124 ","$2,872 ","$4,252 ",60%,"$3,172 ","$1,079 ",$655 ,$935 ,9%
2021,Fall,A,Funky Monkey Thrift Shop,Outside,$25 ,Selling donated clothes,"$2,153 ",$285 ,"$3,334 ",155%,"$3,055 ",$279 ,$106 ,($25),5%
2021,Fall,B,Waypoint,Outside,$25 ,Hoodies of various places,"$7,759 ","$3,769 ","$5,110 ",66%,"$3,902 ","$1,207 ",$703 ,$629 ,9%
2021,Fall,C,Spirit of Wix,Rotated,$35 ,Candles,"$10,510 ","$5,013 ","$7,795 ",74%,"$4,285 ","$3,510 ","$1,970 ","$2,178 ",19%
2021,Fall,D,FitCheck Apparel ,Outside,$25 ,Tshirts with Rexburg sayings,"$4,700 ","$2,516 ","$2,795 ",59%,"$3,905 ","($1,110)",($925),"$1,115 ",-20%
2021,Fall,E,Remember When,Rotated,$25 ,Adventure Book,"$2,507 ","$1,017 ","$2,199 ",88%,"$2,802 ",($602),($492),$436 ,-20%
2021,Fall,F,Cozy Co,Outside,$25 ,Handwarmers,"$3,522 ",$912 ,"$4,371 ",124%,"$3,584 ",$787 ,$456 ,$95 ,13%
2021,Fall,G,Parks n Rex,STC,$35 ,National Parks T-shirts,"$9,146 ","$3,132 ","$6,018 ",66%,"$4,334 ","$1,683 ","$1,061 ","$1,863 ",12%
2021,Fall,H,Outlandish,Smith,$35 ,Customizable Hoodies,"$9,027 ","$6,955 ","$5,607 ",62%,"$3,852 ","$1,755 ","$1,240 ","$1,049 ",14%
2022,Winter,A,The Apricot Tree,Campus,,Popcorn & Pretzels,"$3,870 ","$1,468 ","$2,402 ",62%,"$3,118 ",($715),($625),$140 ,-16%
2022,Winter,B,Cheese Louise,Smith,$35 ,Mac n Cheese,"$16,664 ","$5,326 ","$11,337 ",68%,"$6,910 ","$4,428 ","$3,043 ","$4,464 ",18%
2022,Winter,C,Stroop There It Is,Benson,,Stroopwafels,"$14,393 ","$2,750 ","$11,643 ",81%,"$8,257 ","$3,386 ","$2,868 ","$4,375 ",20%
2022,Winter,D,Chap'd,I-Center,$35 ,Chapstick,"$5,936 ","$1,209 ","$4,538 ",76%,"$2,930 ","$1,608 ","$1,053 ",$877 ,18%
2022,Winter,E,208 Stitch,Hart,$35 ,Water bottle coozie,"$6,030 ","$2,469 ","$3,562 ",59%,"$3,178 ",$383 ,$162 ,$334 ,3%
2022,Winter,F,The Teahive,Outside,35 (25 + 10 for tent),Tea and protein bytes,"$6,380 ","$1,935 ","$4,444 ",70%,"$4,537 ",($93),($135), $-   ,-2%
2022,Winter,G,Splash,Hart,$35 ,Tie dye socks,"$9,936 ","$3,626 ","$6,310 ",64%,"$5,185 ","$1,125 ",$698 ,"$1,056 ",7%
2022,Winter,H,The Myx,Benson,$35 ,Trail mix & power bites,"$2,580 ",$689 ,"$1,891 ",73%,"$2,721 ",($830),($648), $-   ,-25%
2022,Spring,A,Cardway to Heaven,Outside,$25 ,Rexburg themed card games,"$6,198 ","$3,643 ","$2,555 ",41%,"$2,151 ",$404 ,$170 ,$218 ,3%
2022,Spring,B,Woofles,Snow,25/35,Waffles,"$2,189 ",$615 ,"$1,574 ",72%,"$2,353 ",($779),($571), $-   ,-26%
2022,Spring,C,Road Bum,Outside,$25 ,Tie-dye Shirts and Hats ,"$4,064 ","$2,020 ","$2,044 ",50%,"$2,271 ",($146),($187),$21 ,-5%
2022,Spring,D,Super Freeze,Outside,$25 ,Freeze dried candy and fruit,"$5,576 ","$1,670 ","$3,906 ",70%,"$3,606 ",$300 ,$102 ,$146 ,2%
2022,Spring,E,Churro a la Rex,Outside,$25 ,Churros,"$5,497 ","$2,259 ","$3,238 ",59%,"$3,401 ",($163),($156),$7 ,-3%
2022,Spring,F,Carnival Cravings,Outside,$25 ,Cotton Candy & Carnival Games,"$2,936 ",$537 ,"$2,399 ",82%,"$2,307 ",$92 ,$261 ,$399 ,9%
2022,Spring,G,Mad Dawg,Smith,$35 ,Hot Dogs ,"$12,755 ","$4,545 ","$8,210 ",64%,"$4,718 ","$3,492 ","$2,310 ","$3,300 ",18%
2022,Spring,H,N'ice,Outside,$25 ,Shaved Ice ,"$7,603 ","$2,011 ","$5,592 ",74%,"$3,963 ","$1,665 ","$1,108 ","$1,610 ",15%
2022,Fall,A,Scratch,I-Center,25/35,Date cards/packs,"$2,342 ",$637 ,"$1,705 ",73%,"$2,292 ",($586),($486),$587 ,-21%
2022,Fall,B,DaniCakes,Smith,$150 ,Danish pancakes,"$8,953 ","$1,511 ","$7,442 ",83%,"$6,064 ","$1,378 ",$830 ,$993 ,9%
2022,Fall,C,Pretzel Parlor,Outside,25/35,Covered pretzels(hard) sticks,"$8,107 ","$2,621 ","$5,486 ",68%,"$2,938 ","$2,549 ","$1,727 ","$2,499 ",21%
