"","Semester","Year","Status","Cross-listed Course","Major...7","Class","Gender...9","Female?","Finance?","Non-Business","Assigned Section","Survey Y/N","Day/Evening","Food Service","Apparel/Sewing","Other Consumer","Cottage Food","random_id","CompanyLetter","Learning Team","Faculty"
"58","Spring","2022","Registered(03/18/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",8,"Y",NA,"Not Interested","Very Interested","Very Interested","Not Interested","699KVME9280WO287",NA,NA,NA
"59","Spring","2023","Registered(03/09/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Very Interested","Very Interested","832AGBD5864IV831","H",1,"Charlie Crump"
"60","Fall","2023","Registered(06/06/2023)",NA,"Business Management","JR","Male","No","No","No",6,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","894VMDN2027ID166","F",3,"Kent Lundin"
"61","Winter","2023","Registered(12/16/2022)",NA,"Interdisciplinary","SR","Female","Yes","No","Yes",7,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","467GJMY3705DM212","G",1,"Jared Peterson"
"62","Spring","2023","Registered(03/06/2023)",NA,"International Studies","SR","Male","No","No","Yes",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","842LTOC5710DG982","H",1,"Charlie Crump"
"63","Winter","2023","Registered(11/08/2022)",NA,"Business Management Ops","JR","Female","Yes","No","No",3,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","390IZDS2057JC204","C",2,"Drew Eager"
"64","Spring","2023","Registered(03/08/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Not Interested","Not Interested","813MYTT2252HO825","A",1,"Scott Pope"
"65","Spring","2022","Registered(03/03/2022)",NA,"Automotive Tech Mgmt","SR","Male","No","No","Yes",1,"Y","Daytime Operations (8AM-2PM)","Not Interested","Very Interested","Very Interested","Not Interested","528MHQX9190XI852",NA,NA,NA
"66","Spring","2022","Registered(03/09/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM)","Not Interested","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","248PMRH8178EK882",NA,NA,NA
"67","Fall","2023","Registered(06/05/2023)",NA,"International Studies","JR","Male","No","No","Yes",5,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Indifferent or No Opinion","Very Interested","Not Interested","729PZHW7822JW160","E",3,"Jared Peterson"
"68","Fall","2022","Registered(06/06/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",7,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","120SEBV8220ZZ420",NA,NA,NA
"69","Fall","2022","Registered(06/13/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",2,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","353PCJF6188OX296",NA,NA,NA
"70","Fall","2023","Registered(06/12/2023)",NA,"Business Management","JR","Male","No","No","No",5,"N","N/A","N/A","N/A","N/A","N/A","247YOOB4782JJ352","E",1,"Jared Peterson"
"71","Spring","2022","Registered(03/08/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",5,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Indifferent or No Opinion","Not Interested","506QTMT1806ZX743",NA,NA,NA
"72","Winter","2023","Registered(01/11/2023)",NA,"Business Management","JR","Male","No","No","No",2,"N",NA,"N/A","N/A","N/A","N/A","136MKWH3887DD972","B",1,"Robert Wilson"
"73","Winter","2023","Registered(11/11/2022)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",7,"Y","Daytime Operations (8AM-2PM)","Not Interested","Very Interested","Very Interested","Very Interested","524AKOX3833FB398","G",1,"Jared Peterson"
"74","Fall","2023","Registered(06/13/2023)",NA,"Non-Degree Seeking","NM","Male","No","No","Yes",2,"N","N/A","N/A","N/A","N/A","N/A","439XQIM8727HN322","B",2,"Mary Maroon"
"75","Spring","2023","Registered(03/14/2023)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",5,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Not Interested","Not Interested","Indifferent or No Opinion","236KOGL5860ZB489","E",1,"Jared Eberhard"
"76","Spring","2022","Registered(03/20/2022)",NA,"Business Management","SR","Male","No","No","No",5,"Y",NA,"Indifferent or No Opinion","Not Interested","Not Interested","Very Interested","563ARAV4865EA220",NA,NA,NA
"77","Fall","2023","Registered(06/10/2023)",NA,"Business Finance","SR","Male","No","Yes","No",2,"N","N/A","N/A","N/A","N/A","N/A","389DXEB2769YQ492","B",1,"Mary Maroon"
"78","Spring","2022","Registered(03/09/2022)",NA,"Business Management","JR","Female","Yes","No","No",4,"N","Daytime Operations (8AM-2PM)","N/A","N/A","N/A","N/A","866ANAD8744LY620",NA,NA,NA
"79","Fall","2023","Registered(06/12/2023)",NA,"Professional Studies","SR","Male","No","No","Yes",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","409KPOK2934VM658","H",2,"Brian Christensen"
"80","Fall","2022","Registered(06/09/2022)",NA,"International Studies","SR","Male","No","No","Yes",2,"Y","Daytime","Very Interested","No Opinion","No Opinion","No Opinion","823GCGC2230PA173",NA,NA,NA
"81","Fall","2022","Registered(06/13/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",1,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","604PUPO3723AL882",NA,NA,NA
"82","Spring","2023","Registered(03/14/2023)",NA,"Business Management","SO","Female","Yes","No","No",1,"Y","I'm fine with either option","Very Interested","Very Interested","Indifferent or No Opinion","Very Interested","757QOAS1127AB455","A",2,"Scott Pope"
"83","Spring","2023","Registered(03/10/2023)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",6,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","804FJMT9444IY203","F",3,"Kent Lundin"
"84","Fall","2023","Registered(06/12/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Very Interested","Very Interested","715HBUF4031DV177","A",3,"Scott Pope"
"85","Fall","2023","Registered(06/12/2023)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","Not Interested","605DKRU6930VV815","I",2,"Dave Rowe"
"86","Winter","2023","Registered(11/09/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",6,"N",NA,"N/A","N/A","N/A","N/A","173GQSP1335FV809","F",2,"Chris Boyce"
"87","Fall","2022","Registered(06/06/2022)",NA,"Business Management Ops","SR","Female","Yes","No","No",8,"Y","Daytime","Very Interested","Very Interested","Very Interested","Very Interested","124GCYE2875IY540",NA,NA,NA
"88","Winter","2023","Registered(12/20/2022)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",3,"N",NA,"N/A","N/A","N/A","N/A","193KNAS6599YF530","C",3,"Drew Eager"
"89","Spring","2022","Registered(03/03/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",7,"N","Evening Operations (8-11AM & 7-10PM)","N/A","N/A","N/A","N/A","535EEKZ7978OJ472",NA,NA,NA
"90","Spring","2022","Registered(03/04/2022)",NA,"Professional Studies","SR","Female","Yes","No","Yes",4,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Very Interested","Very Interested","Indifferent or No Opinion","137EJXZ4537VQ621",NA,NA,NA
"91","Spring","2022","Registered(03/09/2022)",NA,"Business Finance","JR","Male","No","Yes","No",6,"Y","I'm fine with either option","Not Interested","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","399GULB9823WA541",NA,NA,NA
"92","Spring","2023","Registered(03/08/2023)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Very Interested","Not Interested","364FZDM4911KZ645","D",3,"Jared Peterson"
"93","Winter","2023","Registered(11/10/2022)",NA,"Computer Science","SR","Male","No","No","Yes",5,"Y","Evening Operations (8-11AM & 7-10PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","684PQDA8704RT368","E",1,"Rob Tietjen"
"94","Fall","2022","Registered(06/13/2022)",NA,"Business Management","SO","Male","No","No","No",3,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","940GABM9717BR171",NA,NA,NA
"95","Spring","2022","Registered(03/09/2022)",NA,"Business Management","JR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM)","Not Interested","Not Interested","Very Interested","Not Interested","124FQBF1244QF712",NA,NA,NA
"96","Spring","2022","Registered(03/12/2022)",NA,"Business Management","SR","Male","No","No","No",8,"N",NA,"N/A","N/A","N/A","N/A","231FVVI2738JA106",NA,NA,NA
"97","Spring","2022","Registered(03/21/2022)",NA,"Business Management","SR","Male","No","No","No",4,"N",NA,"N/A","N/A","N/A","N/A","425BQOU2164XH609",NA,NA,NA
"98","Fall","2022","Registered(06/08/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",7,"Y","Daytime","Very Interested","Very Interested","No Opinion","No Opinion","429LYLW7546PS535",NA,NA,NA
"99","Fall","2023","Registered(06/09/2023)",NA,"Business Management","SO","Male","No","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","245MIZG9532SA306","I",1,"Dave Rowe"
"100","Spring","2022","Registered(03/10/2022)",NA,"Business Management","SR","Male","No","No","No",4,"N","Daytime Operations (8AM-2PM)","N/A","N/A","N/A","N/A","322BEKA1444HI718",NA,NA,NA
"101","Fall","2023","Registered(06/02/2023)",NA,"International Studies","SR","Female","Yes","No","Yes",6,"N","N/A","N/A","N/A","N/A","N/A","109ZWXT7394WM319","F",2,"Kent Lundin"
"102","Fall","2023","Registered(06/06/2023)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Not Interested","949WOVI6610MG733","I",1,"Dave Rowe"
"103","Fall","2023","Registered(06/07/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",2,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Very Interested","569SRMM8358FY428","B",3,"Mary Maroon"
"104","Fall","2023","Registered(06/12/2023)",NA,"Automotive Tech Mgmt","JR","Male","No","No","Yes",1,"N","N/A","N/A","N/A","N/A","N/A","849FUYN8184QL756","A",1,"Scott Pope"
"105","Spring","2022","Registered(03/08/2022)",NA,"FCS Apparel Entrepreneur","SR","Female","Yes","No","Yes",8,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Indifferent or No Opinion","Not Interested","568YXHZ6991OR120",NA,NA,NA
"106","Winter","2023","Registered(12/02/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",7,"N",NA,"N/A","N/A","N/A","N/A","797QSYH2638SG112","G",1,"Jared Peterson"
"107","Winter","2023","Registered(11/09/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",1,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Very Interested","865IRZP9789DB139","A",2,"Charlie Crump"
"108","Spring","2023","Registered(03/14/2023)",NA,"Business Management","SO","Female","Yes","No","No",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","533SOMW1111UN371","B",1,"Rob Tietjen"
"109","Spring","2023","Registered(03/30/2023)",NA,"Business Management","SR","Male","No","No","No",3,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","969PSXR2399LN363","C",2,"Chris Boyce"
"110","Spring","2023","Registered(03/09/2023)",NA,"Business Management","JR","Female","Yes","No","No",5,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Very Interested","615WLGM8928YA350","E",3,"Jared Eberhard"
"111","Winter","2023","Registered(11/04/2022)",NA,"Business Management","SR","Female","Yes","No","No",5,"Y","Evening Operations (8-11AM & 7-10PM)","Very Interested","Not Interested","Indifferent or No Opinion","Not Interested","854EUGD1478BR157","E",3,"Rob Tietjen"
"112","Fall","2023","Registered(06/08/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",4,"N","N/A","N/A","N/A","N/A","N/A","104TSRY6969HB268","D",1,"Chris Boyce"
"113","Spring","2022","Registered(03/03/2022)",NA,"Business Management","SR","Male","No","No","No",3,"Y","Daytime Operations (8AM-2PM)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","288CTIG7604UQ121",NA,NA,NA
"114","Fall","2023","Registered(06/06/2023)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Not Interested","106SVSN4124CZ640","I",3,"Dave Rowe"
"115","Spring","2023","Registered(03/10/2023)",NA,"Business Management","SO","Female","Yes","No","No",5,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Very Interested","146BOXW5307GZ971","E",3,"Jared Eberhard"
"116","Fall","2023","Registered(07/14/2023)",NA,"Business Management","JR","Male","No","No","No",9,"N","N/A","N/A","N/A","N/A","N/A","419NDRX1437GM691","I",1,"Dave Rowe"
"117","Spring","2023","Registered(03/30/2023)",NA,"FCS Apparel Entrepreneur","JR","Female","Yes","No","Yes",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Indifferent or No Opinion","Not Interested","Not Interested","677IQXP7455DV278","B",2,"Rob Tietjen"
"118","Spring","2023","Registered(03/07/2023)",NA,"Business Management","JR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Not Interested","885PPOT4575EX268","H",2,"Charlie Crump"
